1873,12,15,15,59,40,43N14,0E 5
1876,8,12,22,57,36,44N50,0W34
1864,3,10,6,44,28,43N37,3E53
1860,7,24,9,20,40,48N50,2E20
1890,6,12,10,16,40,46N34,3E20
1810,1,23,9,44,28,43N37,3E53
1843,8,28,6,5,12,48N42,6E12
1866,8,26,20,57,28,44N12,0E38
1876,2,16,13,38,32,43N18,5E22
1873,9,21,10,35,12,48N42,6E12
1839,3,30,1,6,20,47N13,1W35
1875,5,19,6,54,16,43N37,1E26
1876,2,28,2,54,16,43N37,1E26
1846,1,3,10,16,40,46N34,3E20
1842,4,30,12,57,36,44N50,0W34
1874,7,3,0,17,24,46N59,3E 9
1830,9,16,0,35,16,49N 7,6E11
1852,11,12,13,57,36,44N50,0W34
1851,6,8,9,55,0,45N50,1E15
1862,1,9,8,2,8,47N28,0W32
1875,1,29,7,49,44,44N21,2E34
1838,7,1,2,16,24,48N 0,4W 6
1868,6,1,7,1,28,49N11,0W22
1822,5,28,9,57,36,44N50,0W34
1857,11,17,4,50,40,48N50,2E20
1809,3,25,21,6,40,48N 7,1W40
1834,9,7,9,50,48,49N54,2E18
1820,9,10,9,51,28,48N50,2E 8
1890,7,29,4,40,40,45N46,4E50
1845,1,16,3,39,8,46N12,5E13
1853,3,29,4,55,0,45N50,1E15
1872,1,1,8,50,40,48N50,2E20
1849,4,4,23,6,20,47N13,1W35
1814,9,1,2,34,8,43N32,6E28
1867,6,16,15,57,36,44N50,0W34
1857,5,10,0,37,8,45N11,5E43
1870,3,18,0,54,16,43N37,1E26
1814,6,4,20,55,0,45N50,1E15
1832,1,17,21,54,40,47N35,1E20
1853,3,25,1,35,52,47N15,6E 2
1806,9,24,1,5,16,49N 7,6E11
1857,12,4,17,58,40,46N35,0E20
1811,8,6,6,50,36,43N12,2E21
1876,9,13,5,29,0,37N 0,7E45
1806,5,7,20,45,32,49N34,3E37
1854,6,23,0,44,28,43N37,3E53
1875,5,9,18,55,16,49N 1,1E11
1853,3,28,1,53,40,42N58,1E35
1883,2,21,11,35,40,48N50,2E20
1806,5,8,9,39,8,46N12,5E13
1816,10,15,6,35,16,49N 7,6E11
1856,3,17,10,50,40,48N50,2E20
1867,6,23,6,4,40,46N 9,1W10
1859,3,30,12,48,56,50N18,2E46
1813,8,26,2,50,40,48N50,2E20
1850,2,4,8,43,40,48N18,4E 5
1832,5,9,19,30,56,43N42,7E16
1870,2,17,18,37,48,46N40,5E33
1845,1,6,14,32,32,47N38,6E52
1817,8,27,18,49,20,48N33,2E40
1857,10,7,0,57,28,44N12,0E38
1813,7,12,3,10,40,45N46,4E50
1872,5,19,4,50,40,48N50,2E20
1819,1,21,2,41,4,49N46,4E44
1815,2,9,23,41,4,49N46,4E44
1833,8,27,15,6,20,47N13,1W35
1867,5,17,9,50,40,48N50,2E20
1851,8,4,16,38,32,43N18,5E22
1831,4,20,12,1,28,49N11,0W22
1868,2,23,1,6,16,48N50,2E11
1876,7,3,5,39,52,47N19,5E 2
1873,7,18,14,54,16,44N27,1E26
1891,10,11,9,50,40,48N33,2E40
1839,4,10,23,10,40,48N50,2E20
1884,12,3,2,42,36,43N51,4E21
1857,2,28,7,6,40,48N 7,1W40
1820,10,1,10,50,40,48N50,2E20
1844,12,2,17,45,32,49N34,3E37
1838,12,16,9,30,36,48N 5,7E21
1808,2,5,15,34,8,48N10,6E28
1822,6,14,2,50,40,48N50,2E20
1848,10,26,22,29,0,48N35,7E45
1895,4,18,6,20,40,47N48,3E35
1809,3,20,19,39,8,46N12,5E13
1866,10,21,16,32,8,47N28,0W32
1812,1,3,8,40,40,45N46,4E50
1837,9,6,2,39,28,48N 7,5E 8
1833,12,18,0,30,36,48N 5,7E21
1806,7,23,19,45,40,47N48,3E35
1842,6,4,7,50,40,48N50,2E20
1830,10,27,7,39,8,46N12,5E13
1828,1,6,0,54,0,48N27,1E30
1870,1,4,16,6,20,47N13,1W35
1870,6,11,4,41,4,49N46,4E44
1822,4,2,3,18,20,42N42,2E55
1814,5,25,14,35,12,48N42,6E12
1836,5,26,6,45,40,47N48,3E35
1816,12,8,4,49,44,44N21,2E34
1851,6,21,7,41,4,49N46,4E44
1852,3,13,11,47,40,45N47,3E 5
1819,5,20,13,47,24,46N59,3E 9
1796,12,2,7,50,40,48N50,2E20
1858,4,6,0,29,0,48N35,7E45
1852,5,1,16,51,28,48N50,2E 8
1872,6,26,4,20,40,48N50,2E20
1869,9,27,4,1,28,49N11,0W22
1867,5,1,22,6,20,47N13,1W35
1852,4,15,13,5,52,47N15,6E 2
1863,11,2,4,50,40,48N50,2E20
1824,6,28,19,57,36,44N50,0W34
1869,10,17,16,50,40,48N50,2E20
1869,5,6,0,50,40,48N50,2E20
1837,2,13,15,45,32,49N34,3E37
1877,3,10,7,50,40,48N50,2E20
1854,8,13,5,25,40,49N26,1E 5
1829,8,14,3,50,48,49N54,2E18
1815,3,2,5,49,20,48N33,2E40
1818,1,24,8,50,28,47N 5,2E23
1830,5,20,15,6,20,47N13,1W35
1873,10,11,12,42,32,48N57,4E22
1858,10,10,6,59,40,43N14,0E 5
1858,7,13,13,35,12,48N42,6E12
1863,7,12,22,30,56,43N42,7E16
1872,8,27,21,49,20,48N33,2E40
1867,6,17,12,49,20,48N33,2E40
1854,4,19,0,50,40,48N50,2E20
1845,5,29,16,54,40,44N 1,1E20
1845,2,19,15,39,52,47N19,5E 2
1869,1,16,1,55,0,45N50,1E15
1873,6,28,22,40,40,45N46,4E50
1871,2,27,22,50,28,47N 5,2E23
1898,5,30,5,50,40,44N50,0W34
1849,6,14,0,50,40,48N50,2E20
1824,10,15,14,50,40,48N50,2E20
1808,3,25,3,57,36,44N50,0W34
1852,1,10,18,40,40,45N46,4E50
1836,10,17,8,48,56,50N18,2E46
1872,4,6,1,51,28,43N55,2E 8
1883,6,13,15,50,16,44N56,2E26
1882,1,1,20,16,0,44N31,3E30
1851,3,12,9,37,48,46N40,5E33
1885,4,18,5,34,8,48N10,6E28
1851,10,13,2,44,28,45N 3,3E53
